cityid;cityid_new;pop;pop_log
70390;1727;658;2.818226
70391;957;1575;3.197281
70392;1631;724;2.859739
70393;2168;370;2.568202
70394;2095;410;2.612784
70558;450;3095;3.490661
70559;1916;523;2.718502
70560;1171;1216;3.084934
70561;685;2111;3.324488
70562;1312;1042;3.017868
70758;2005;469;2.671173
70759;1737;650;2.812913
70760;1850;577;2.761176
70761;731;2018;3.304921
70762;770;1943;3.288473
70958;1668;699;2.844477
70959;646;2262;3.354493
70960;2137;388;2.588832
70961;1498;843;2.925828
70962;653;2216;3.34557
70963;1487;855;2.931966
70964;1330;1021;3.009026
70965;1445;905;2.956649
70966;2285;301;2.478566
70967;1276;1076;3.031812
70968;740;2010;3.303196
70969;872;1740;3.240549
70970;1188;1199;3.078819
70971;2528;104;2.017033
70972;1417;938;2.972203
70973;1205;1175;3.070038
71158;806;1879;3.273927
71159;1669;698;2.843855
71161;753;1973;3.295127
71162;1626;729;2.862728
71163;1098;1338;3.126456
71164;1734;651;2.813581
71165;1805;606;2.782473
71166;1194;1190;3.075547
71167;1673;694;2.841359
71168;1627;728;2.862131
71169;881;1715;3.234264
71170;1889;540;2.732394
71171;929;1627;3.211388
71172;1297;1053;3.022428
71173;994;1525;3.18327
71174;1874;551;2.741152
71175;884;1702;3.23096
71176;1418;938;2.972203
71177;2027;454;2.657056
71178;1972;492;2.691965
71179;1117;1295;3.11227
71180;1897;533;2.726727
71181;2006;467;2.669317
71182;1832;588;2.769377
71183;1260;1097;3.040207
71184;1306;1047;3.019947
71185;1820;597;2.775974
71186;844;1802;3.255755
71187;1314;1040;3.017033
71188;516;2740;3.437751
71189;1540;812;2.909556
71190;2008;466;2.668386
71191;1500;842;2.925312
71192;1938;508;2.705864
71193;1522;826;2.91698
71358;722;2032;3.307924
71359;1575;782;2.893207
71360;1928;512;2.70927
71361;1323;1033;3.0141
71362;1595;758;2.879669
71363;892;1688;3.227372
71364;1645;717;2.855519
71365;1719;665;2.822822
71366;1223;1150;3.060698
71367;943;1593;3.202216
71368;1887;542;2.733999
71369;1158;1230;3.089905
71370;1138;1254;3.098298
71371;1499;843;2.925828
71372;2007;467;2.669317
71373;1313;1041;3.017451
71374;901;1663;3.220892
71375;1718;666;2.823474
71376;1338;1011;3.004751
71377;1800;608;2.783904
71378;2166;371;2.569374
71379;2101;407;2.609594
71380;1408;941;2.97359
71381;1110;1309;3.11694
71559;1051;1413;3.150142
71560;1720;664;2.822168
71561;1881;547;2.737987
71562;1546;807;2.906873
71563;1326;1031;3.013259
71564;1375;977;2.989895
71565;1814;602;2.779597
71566;1565;792;2.898725
71567;981;1542;3.188084
71568;876;1732;3.238548
71569;774;1940;3.287802
71570;1310;1044;3.018701
71571;1996;476;2.677607
71572;1482;860;2.934499
71573;1044;1426;3.154119
71574;2295;294;2.468347
71575;1923;517;2.71349
71758;935;1606;3.205745
71759;1023;1468;3.166726
71760;1646;716;2.854913
71761;936;1605;3.205475
71762;1299;1051;3.021603
71763;866;1751;3.243286
71764;1485;857;2.932981
71765;2367;249;2.396199
71766;898;1670;3.222717
71767;1628;727;2.861534
71768;1016;1480;3.170262
71769;1687;687;2.836957
71770;2046;441;2.644439
71771;1414;939;2.972666
71772;860;1762;3.246006
71773;934;1610;3.206826
71774;955;1575;3.197281
71777;976;1554;3.191451
71958;980;1543;3.188366
71959;1855;573;2.758155
71960;1009;1490;3.173186
71961;1291;1058;3.024486
71962;2233;329;2.517196
71963;1202;1179;3.071514
71964;634;2299;3.361539
71965;837;1809;3.257439
71966;890;1692;3.2284
71967;1712;668;2.824776
71968;1976;490;2.690196
71969;1677;692;2.840106
71970;1280;1071;3.029789
71971;1679;692;2.840106
71972;2161;373;2.571709
71973;2481;157;2.1959
72158;856;1773;3.248709
72159;1050;1414;3.15045
72160;1931;510;2.70757
72161;1420;937;2.97174
72162;1579;777;2.890421
72163;808;1877;3.273464
72164;1164;1225;3.088136
72165;2514;121;2.082785
72166;1610;746;2.872739
72167;1533;817;2.912222
72168;1269;1084;3.035029
72169;2037;446;2.649335
72170;1517;830;2.919078
72171;1758;638;2.804821
72172;1121;1293;3.111598
72173;553;2569;3.409764
72174;2012;464;2.666518
72175;1556;800;2.90309
72182;1607;751;2.87564
72183;962;1566;3.194792
72184;2256;317;2.501059
72185;1432;915;2.961421
72186;2399;226;2.354108
72187;2390;230;2.361728
72188;877;1731;3.238297
72189;1154;1233;3.090963
72190;2282;303;2.481443
72191;1376;977;2.989895
72192;1325;1032;3.01368
72193;2453;185;2.267172
72194;1554;801;2.903632
72195;2435;196;2.292256
72358;1560;796;2.900913
72359;1551;803;2.904716
72558;1731;653;2.814913
72559;1143;1247;3.095866
72560;1386;959;2.981819
72561;1366;985;2.993436
72564;1267;1087;3.03623
72565;2371;246;2.390935
72566;2117;401;2.603144
72567;1298;1051;3.021603
72568;2316;279;2.445604
72758;501;2797;3.446692
72759;1764;633;2.801404
72760;2026;454;2.657056
72761;361;3857;3.58625
72959;1791;613;2.787461
72960;739;2010;3.303196
72961;1557;798;2.902003
72962;2474;165;2.217484
72963;1214;1163;3.06558
72964;1834;587;2.768638
73158;2400;225;2.352183
73160;1804;606;2.782473
73161;1441;907;2.957607
73162;1146;1242;3.094122
73163;1342;1008;3.003461
73164;1095;1342;3.127753
73165;2102;406;2.608526
73358;1979;489;2.689309
73359;1162;1226;3.08849
73360;1547;806;2.906335
73361;1935;509;2.706718
73362;1512;834;2.921166
73558;2052;438;2.641474
73559;1647;716;2.854913
73560;621;2343;3.369772
73758;631;2309;3.363424
73759;1421;936;2.971276
73760;649;2238;3.34986
73761;2182;365;2.562293
73762;1966;494;2.693727
73763;1228;1145;3.058805
73764;1825;591;2.771587
73765;1279;1073;3.0306
73766;1877;549;2.739572
73958;968;1562;3.193681
73959;954;1579;3.198382
73961;1690;682;2.833784
74158;1249;1117;3.048053
74159;1258;1100;3.041393
74160;2222;336;2.526339
74161;964;1566;3.194792
74162;2521;112;2.049218
74163;2045;442;2.645422
74164;927;1628;3.211654
74358;2060;435;2.638489
74359;2193;356;2.55145
74360;1385;962;2.983175
74361;1152;1234;3.091315
74362;1489;853;2.930949
74363;2323;276;2.440909
74364;1751;642;2.807535
74365;1356;995;2.997823
74558;1061;1395;3.144574
74559;640;2279;3.357744
74560;1908;527;2.721811
74563;2306;287;2.457882
74762;2287;300;2.477121
74963;2207;347;2.540329
74964;1507;838;2.923244
74965;2451;186;2.269513
74966;1196;1188;3.074816
74967;2111;403;2.605305
74968;2334;271;2.432969
75163;2507;127;2.103804
75164;1648;714;2.853698
75165;1166;1221;3.086716
75361;1519;826;2.91698
75561;2343;267;2.426511
75761;951;1580;3.198657
75961;775;1939;3.287578
75962;558;2561;3.40841
75963;1468;876;2.942504
75964;1644;717;2.855519
75965;925;1632;3.21272
75966;2304;289;2.460898
75967;771;1943;3.288473
75968;1847;579;2.762679
75969;1706;673;2.828015
75970;557;2561;3.40841
75971;1406;944;2.974972
75972;2484;155;2.190332
75973;827;1839;3.264582
75974;1875;550;2.740363
75975;2385;235;2.371068
75976;1700;675;2.829304
75977;1808;605;2.781755
75978;2070;428;2.631444
75979;1940;508;2.705864
75980;2490;148;2.170262
75981;1122;1292;3.111263
75982;1208;1168;3.067443
75983;2084;417;2.620136
75984;1945;506;2.70415
75985;2002;471;2.673021
75986;1218;1157;3.063333
75987;1361;988;2.994757
76161;1467;879;2.943989
76162;1949;505;2.703291
76163;989;1532;3.185259
76164;1807;606;2.782473
76165;1888;541;2.733197
76166;1977;489;2.689309
76167;1833;588;2.769377
76168;1480;864;2.936514
76169;703;2073;3.316599
76170;1812;603;2.780317
76171;2094;412;2.614897
76172;1593;763;2.882524
76173;2140;387;2.587711
76174;1407;941;2.97359
76175;1705;673;2.828015
76176;1389;959;2.981819
76177;1251;1115;3.047275
76178;1974;492;2.691965
76179;1618;735;2.866287
76180;1371;980;2.991226
76181;1806;606;2.782473
76182;1456;893;2.950851
76183;1131;1271;3.104146
76184;2043;443;2.646404
76185;1384;966;2.984977
76186;1130;1275;3.10551
76187;2406;218;2.338456
76188;1212;1166;3.066699
76189;1452;896;2.952308
76190;2057;436;2.639487
76361;1107;1318;3.119915
76362;1054;1408;3.148603
76363;2537;94;1.973128
76364;660;2199;3.342225
76366;1292;1056;3.023664
76367;1649;714;2.853698
76368;1660;705;2.848189
76369;2277;305;2.4843
76370;1295;1054;3.02284
76371;659;2200;3.342423
76372;986;1537;3.186674
76373;1197;1184;3.073352
76374;2468;172;2.235528
76375;1059;1399;3.145818
76376;1865;562;2.749736
76377;1859;568;2.754348
76378;2062;434;2.63749
76379;1478;865;2.937016
76380;2424;205;2.311754
76381;2248;321;2.506505
76382;997;1516;3.180699
76383;1227;1146;3.059185
76384;974;1555;3.19173
76385;1039;1434;3.156549
76386;1901;531;2.725095
76387;1141;1251;3.097257
76388;874;1738;3.24005
76389;2014;462;2.664642
76390;2194;355;2.550228
76391;2080;420;2.623249
76392;1087;1353;3.131298
76561;1359;991;2.996074
76562;1199;1182;3.072618
76563;2350;261;2.416641
76564;900;1665;3.221414
76565;1370;980;2.991226
76566;2372;245;2.389166
76567;1129;1281;3.107549
76568;2349;261;2.416641
76761;1469;874;2.941511
76961;2088;415;2.618048
76962;1912;526;2.720986
77161;1155;1232;3.090611
77162;747;1979;3.296446
77163;1811;604;2.781037
77362;1852;576;2.760422
77363;1868;560;2.748188
77364;1400;948;2.976808
77365;1958;499;2.698101
77366;1523;824;2.915927
77561;1787;616;2.789581
77562;1513;834;2.921166
77563;2421;205;2.311754
77564;858;1772;3.248464
77565;487;2899;3.462248
77566;2148;383;2.583199
77567;1273;1081;3.033826
77568;2353;255;2.40654
77569;1823;592;2.772322
77570;2129;396;2.597695
77571;1786;616;2.789581
77572;1115;1302;3.114611
77761;1587;769;2.885926
77762;1464;882;2.945469
77763;1294;1055;3.023252
77764;2058;435;2.638489
77765;1665;703;2.846955
77766;1638;720;2.857332
77767;2477;163;2.212188
77768;1605;751;2.87564
77769;1948;505;2.703291
77772;1448;899;2.95376
77773;1779;619;2.791691
77963;1586;771;2.887054
77964;1683;689;2.838219
77965;2028;453;2.656098
78161;834;1830;3.262451
78361;1971;492;2.691965
78362;2200;352;2.546543
78368;2097;409;2.611723
78567;1256;1101;3.041787
78568;2501;137;2.136721
78569;1461;882;2.945469
78570;2541;81;1.908485
78761;1698;677;2.830589
78962;1332;1021;3.009026
78963;1094;1343;3.128076
78964;2075;425;2.628389
78965;2454;185;2.267172
78966;1528;820;2.913814
78967;1599;753;2.876795
79161;754;1972;3.294907
79162;1583;772;2.887617
79163;1924;517;2.71349
79361;1933;510;2.70757
79362;1364;985;2.993436
79363;2388;232;2.365488
79364;738;2011;3.303412
79564;1347;1007;3.00303
79961;2215;342;2.534026
79962;635;2297;3.361161
79963;1495;844;2.926342
79964;2357;254;2.404834
79965;1773;626;2.796574
79966;2066;431;2.634477
79967;1571;786;2.895422
79968;1409;941;2.97359
79969;1884;545;2.736397
79970;1671;695;2.841985
79977;1484;857;2.932981
80161;678;2128;3.327972
80162;1588;769;2.885926
80163;1261;1097;3.040207
80164;2307;287;2.457882
80165;1900;532;2.725912
80166;1796;611;2.786041
80167;2545;69;1.838849
80168;2555;44;1.643453
80169;1861;564;2.751279
80170;2024;455;2.658011
80171;2205;348;2.541579
80361;781;1930;3.285557
80362;2420;205;2.311754
80561;1446;901;2.954725
80562;2187;362;2.558709
80563;1135;1261;3.100715
80564;2475;165;2.217484
80565;2157;376;2.575188
80761;2096;409;2.611723
80762;492;2869;3.457731
80763;566;2532;3.403464
80764;1730;655;2.816241
80765;2069;428;2.631444
80766;1416;938;2.972203
80961;1345;1007;3.00303
81161;2226;334;2.523746
81162;2538;90;1.954242
81163;1355;996;2.998259
81361;1175;1210;3.082785
81362;375;3686;3.566555
81561;1829;590;2.770852
81562;978;1548;3.189771
81563;1198;1184;3.073352
81564;2119;400;2.60206
81565;1090;1351;3.130655
81761;1561;795;2.900367
81762;1606;751;2.87564
81763;2170;369;2.567026
81764;2133;392;2.593286
81765;2546;65;1.812913
